the
i
it
a
and
is
to
of
this
in
s
but
that
for
my
on
like
not
me
with
you
t
scent
as
fragrance
very
so
smell
was
one
be
have
more
just
or
can
at
an
all
if
from
love
are
notes
fresh
smells
when
bottle
perfume
tobacco
get
there
has
really
what
green
would
skin
sweet
10
out
about
m
good
don
vanilla
after
by
wear
first
its
which
will
some
up
think
note
too
time
well
than
because
no
longevity
much
summer
day
do
down
still
they
also
cologne
fig
your
then
citrus
something
only
clean
hours
dry
way
had
even
bit
unisex
fragrances
great
into
nice
ve
any
now
other
been
most
how
buy
say
beautiful
feel
opening
5
little
am
know
people
want
could
smelled
many
does
off
got
quite
find
amber
wearing
spray
though
black
strong
doesn
try
long
sillage
before
same
warm
scents
patchouli
never
go
definitely
best
better
here
edt
projection
while
leather
who
nose
d
last
spicy
edp
smelling
back
around
unique
perfect
few
hot
floral
bought
performance
being
maybe
different
rubber
makes
see
years
coromandel
masculine
white
lot
reminds
lasts
soft
ll
ever
almost
feminine
price
similar
over
4711
where
slightly
light
new
top
used
neroli
chergui
powdery
those
sample
re
make
old
use
3
sure
lovely
woody
days
might
them
why
honey
spring
perfumes
always
again
nothing
incense
however
myself
every
minutes
going
such
both
mugler
coconut
tea
tried
quality
desert
soapy
must
right
yes
2
blind
kind
far
sweetness
enough
probably
air
original
did
another
chocolate
4
said
8
weather
pleasant
close
put
thought
ck
own
leaves
amazing
hour
man
philosykos
two
give
without
chanel
de
through
their
yet
vanille
work
actually
full
since
high
shower
these
need
review
masterpiece
reviews
we
thing
vibe
collection
men
he
absolutely
musk
made
should
refreshing
isn
tom
less
ford
today
didn
spices
interesting
classic
pretty
6
drydown
sexy
rather
once
soap
dark
vetiver
creamy
hay
away
overall
seems
winter
were
times
ago
citrusy
remember
may
blended
tree
bad
favorite
getting
comes
anything
else
least
heavy
bvlgari
come
worth
fruit
7
looking
later
cheap
mind
lasting
opinion
base
take
keep
night
spice
longer
experience
expensive
anyone
everyone
9
year
mango
rose
moderate
cold
during
version
enjoy
feeling
her
natural
others
sprayed
1
bitter
found
elegant
l
big
eau
women
fall
woman
rich
point
already
super
end
his
let
gives
exactly
earthy
although
wonderful
someone
stuff
decant
together
niche
especially
wore
pick
worn
sharp
trying
blend
easy
opens
true
wish
couple
buying
room
signature
type
she
le
initial
everything
wood
leaf
body
either
gone
fruity
special
wouldn
wanted
sprays
accord
hand
smooth
intense
complex
start
whole
sniff
real
gorgeous
jardin
totally
cool
bottles
place
hint
becomes
splash
hard
truly
life
side
happy
unfortunately
office
recommend
based
quickly
house
reason
30
aroma
garden
starts
subtle
cinnamon
smoky
imagine
tomato
bright
won
believe
came
store
next
synthetic
certainly
modern
home
things
perfectly
having
touch
name
nil
grapefruit
hermes
diptyque
feels
sense
mostly
weak
safe
wrist
perhaps
fan
un
sur
lemon
bergamot
left
works
appreciate
musky
test
tauer
clothes
world
loved
blast
simply
cedar
finally
frag
went
classy
gourmand
heat
florals
takes
prefer
goes
fact
between
composition
orange
excellent
oriental
figs
wasn
yourself
simple
woods
done
middle
understand
mix
wet
casual
heart
delicious
comforting
money
personally
line
add
powder
dries
until
du
tv
fantastic
memories
sometimes
hands
part
turns
creed
extremely
guess
along
mean
dried
mixed
purchase
freshness
glad
realistic
literally
morning
strange
under
instead
cozy
purchased
easily
water
months
juice
tell
above
wow
took
often
hate
spraying
half
read
school
past
balanced
throughout
become
cloying
itself
combination
look
weird
jasmine
tf
iris
lol
beginning
pull
power
aromatic
noticeable
batch
flowers
hit
oud
linear
milky
car
impression
oh
sour
completely
anyway
20
haven
short
portofino
fruits
aquatic
detect
grass
lotus
wrong
given
freshly
deep
pure
edit
rating
compliments
sniffing
saying
please
expecting
market
received
prominent
course
immediately
idea
agree
consider
felt
started
taste
able
favourite
behind
stays
small
huge
indeed
nights
fancy
hype
sun
andy
leans
sort
making
refined
mentioned
herbal
low
dirty
head
airy
sophisticated
faint
paris
versatile
change
15
lddm
occasions
juicy
warmer
friend
silage
somehow
ok
delicate
projects
mature
seem
wears
moment
homme
recently
effect
absolute
wearable
describe
honestly
90s
knew
chemistry
choice
reminded
case
walking
crisp
gets
evening
chance
usually
decent
rest
due
beauty
straight
despite
fun
face
reading
disappointed
art
marocain
benzoin
depth
everyday
liked
inoffensive
listed
second
live
barely
poor
average
somewhat
carrot
three
our
plus
ml
coming
noir
beautifully
background
olfactory
prada
using
personal
imo
di
noticed
paper
vintage
male
leaning
several
sensual
100
stop
smoke
says
expect
smokey
mysterious
near
expected
occasion
couldn
baby
discontinued
creation
etc
present
non
lasted
reminiscent
wife
okay
surprised
dusty
tonka
pipe
meant
dior
soon
resinous
tire
coriander
oil
shirt
early
word
sweeter
overly
uniqueness
colognes
inside
older
jacket
brings
stunning
stronger
decided
uplifting
difference
12
highly
humid
created
perfumery
reformulated
citruses
90
worthy
memory
care
whiff
dont
na
person
young
animalic
him
ambery
round
kept
nature
beast
each
angel
bed
e
staple
brand
forever
mid
dislike
girl
date
problem
changed
compared
slight
loving
surprise
style
husband
headache
compare
mood
ones
sitting
particularly
fragrantica
christmas
irish
tested
testing
heard
wait
journey
gem
sandalwood
rubbery
leave
odd
affordable
reach
lived
thinking
late
across
asked
cut
giving
outside
pour
reviewers
balance
cost
ingredients
cloves
parfum
told
incredibly
god
serge
lutens
midnight
friends
anymore
entire
suitable
familiar
grassy
ordered
job
magic
wash
somewhere
became
overpowering
update
experienced
nor
within
upon
samples
neck
remind
settles
shop
loves
book
wind
petitgrain
nicely
age
gym
accords
us
box
smelt
formal
y
initially
certain
open
instantly
shame
guy
stage
called
otherwise
spritz
walk
impressed
week
incredible
gave
fine
compliment
doing
formulation
labdanum
tires
